"Date","Time","Height (A: 0, C: 1)","Time used"
"9/11/2018","11:34:54.8675871","0","15.60901"
"9/11/2018","11:34:55.1916430","1","15.53608"
"9/11/2018","11:37:43.7234644","0","18.07464"
"9/11/2018","11:38:13.9484001","0","28.03066"
"9/11/2018","11:39:16.3162808","0","53.26244"
"9/11/2018","11:39:31.0052350","0","105.3176"
"9/11/2018","11:39:45.3434386","0","20.73504"
"9/11/2018","11:40:09.8400811","0","33.36559"
"9/11/2018","11:40:50.3855961","0","96.25464"
"9/11/2018","11:40:53.3430693","0","65.1902"
"9/11/2018","11:41:18.8819408","0","59.22477"
"9/11/2018","11:41:19.6272609","0","23.74034"
"9/11/2018","11:41:41.3042930","0","18.63694"
"9/11/2018","11:41:49.1131302","0","22.85085"
"9/11/2018","11:42:59.5225415","0","74.40095"
"9/11/2018","11:43:43.1689374","0","25.90989"
"9/11/2018","11:43:44.1062542","0","140.1455"
